paperId,venue
3e27c7e0a755b7ef4e19395b9696300bb98f9690,International Conference on Intelligent Transportation Systems
cc710563c48317bbd1b107c62dadf61bfb41a76f,
0ecdf788d244ae5d95cb23b42a98507cf595f56f,Cognitive Sciences
516a8e8cd836ec33ac2b3faf8cdafcfef86a8c1a,
58141c9f8cf4f6cec747fa71bdcdedb78a79519d,arXiv.org
347ffaaf78ac976ee5c4ee0de358f9fc00262d6b,IEEE Workshop/Winter Conference on Applications of Computer Vision
103e5f3e8b5e10db86c949c475f6a628a5565f89,Psychological Research
66adc31b34bf7cc874b9e7a80b40f2f851ec12a9,Quarterly Journal of Experimental Psychology
501b619a0c321aee8d9506e318e5c8f22d563f2f,
5e72d92e02a35051da555930efc7426956c87603,Cognitive Research
fe32d58637fed83382687f55a70b0b5bd4aa6b31,
2b5e96889b823fa421278b9824913969d28dc2c6,"IEEE International Conference on Systems, Man and Cybernetics"
47ae41d513630b8e4a03a124d7c20eae97ddbf55,Multimedia tools and applications
54718446e800fc1191339ee6ce0e6b026207bce0,Current Biology
c69f5261edb4dde001fcea4d32b06fdf9dd9358a,arXiv.org
6b3eb3c1f6971db91120cd9dd18a377cfe82d268,Journal of Vision
0ab7ba31256eaf9a6e4621b38f4eb2fab7d49fe2,Journal of Experimental Psychology: Human Perception and Performance
469bf173e05a8a17170bbb317502b1e6002ebdc1,IEEE International Conference on Computer Vision
430d827edfbdd39ceb9ebf1a34a181e665335f79,Journal of the Royal Society Interface
08f46d6a91e513edd57a0ef15d5367b5d0545c1b,"Attention, Perception, & Psychophysics"
85278459b71423426dbd255c99213b6d54bb2860,
9de7b515b870735b9eb2efac145bb9e4f8289b4d,Canadian journal of experimental psychology = Revue canadienne de psychologie experimentale
60595f4f5bdc26cdd168416fd77da0ac958a0f9b,Canadian journal of experimental psychology = Revue canadienne de psychologie experimentale
0c7c3c5b038b8914f926da9b5d5c47cbd569b548,Neurocomputing
494864b41951afd8d4df00cd064de74d75219b14,Psychology Review
6455e0b121abc60d4995f659df5e174e0ad77b8e,Journal of Vision
3cb75d8ab988bfce0ef2e160f6368721a6aa537e,Journal of Experimental Psychology: Human Perception and Performance
ed8de051f0dd0d700709ebe36fadc82157fb7ff9,Frontiers in Psychology
c7e7e251a4a69af23cf2de2eea49b4675ba49d2b,arXiv.org
c1697e396a20aa5a421cb79b7ed2e626b5c28133,
19ab8aff8b6041289277d507fa7376b7feb4962e,Journal of Vision
0dcf0145e7a986482449b88b817a6716d6f930d4,"Attention, Perception, & Psychophysics"
3efe416a7f19e05707075c646cd78a364674800f,"Attention, Perception, & Psychophysics"
64e99ef6f1910178c5672b27d5ab722375b33ee8,Image and Vision Computing New Zealand
24ce748146c75938b0a136e5473472020b2698d7,Cognitive Sciences
137167f76cc6f413d54355abc4f7672b5af31630,Trends in Cognitive Sciences
74f0c203bcfbc6fc13bc9ee9aefb7e71261ca591,
9995d891a5d6737eadd7b386de23fbd7aef77903,Neurocomputing
4d7041781419674d6defcec809ecb3fa9406becb,Acta Psychologica
d211b8abdc45b32523b753996732aae56d915707,International Journal of Computer Vision
d12f4c827739b91db063162b01bb0da25f24966f,Journal of Vision
9413124d9f8b8a7a06f7c6b77b12f1af9964b8b0,Computer Vision and Pattern Recognition
560ae4902c7e4a5a72edf629669439bd48ae46de,Computer Vision and Pattern Recognition
c8de02ab86a69c099acd427db2e1797fc8d523e8,Radiation Protection Dosimetry
07865fce2be201ad95f2451a261f1d0669960867,"Attention, Perception, & Psychophysics"
9e382559b32baee574359fa11cb85209b8199223,Computational Intelligence and Neuroscience
6384a0b3940a71c2abe2447d9180a1d075a1a189,International Conference on Human Factors in Computing Systems
57cf6509377136530db3e72e4fd907665a6a4831,IEEE Transactions on Image Processing
822d9af50792c2849f8f3eb539a43eee80c8850b,Psychology Science
bdf149643c138742dedbbbd1880394c3a5b34d4b,
1d8d0f310fffba4b614ef04a56f1113c583e11e8,IEEE Workshop/Winter Conference on Applications of Computer Vision
1c050a8aab477e840bcbc858da18028d63e443f9,Image Quality and System Performance
57d00a0366be6fad9685807d97e4237a7d2ad69e,"International Journal of Control, Automation and Systems"
20742b9c4d60e633b7622102c3238e2bb46f89cd,
b8c1c94167e307b3d504809f941352e904aea70c,Behavioral and Brain Sciences
e447cbe3e5dbde42d3469931277d5b753b522ca9,Proceedings of the National Academy of Sciences of the United States of America
d515a89e8235460dac3afe6eb32c358890813ecf,Journal of Vision
8549a4e1436f616dc8f92c5628fd4b555f55efc9,Vision Research
530550353330f0df2eae1c57f70a61b4cf36019b,PLoS ONE
4882693da53acc8e6acf5288f6f39224a4603b60,Vision Research
90e7a86a57079f17f1089c3a46ea9bfd1d49226c,Vision Research
70f2f54f02ac76f1b32336ac93cb45d75cd9b70b,arXiv.org
6b222931c89aed5a4dce3719a439722a5516a4ff,Advanced Concepts for Intelligent Vision Systems Conference
1fc03b4c156f9262ea04c62dce01606e552b5b92,International Conference on Computer Vision Theory and Applications
1943f984251649e2e7eda3a978cb82e2e7cdedaf,Journal of Experimental Psychology: Human Perception and Performance
af7ed2f0a988eea39d39ebf0393495b776c9169f,
799b2a2015a8d662d59555d46618cf8ed8fb51c7,Ophthalmic & physiological optics
5da06a9b5be4fe7d6838c489e6744162911a5267,Computer Vision and Pattern Recognition
fc838bdd9c79cf59e357e20e2ce2d28b00180aa1,PLoS ONE
b6e345b8cae1be60e3772b339e7dc2e3e1036589,Intelligence and Security Informatics
0b836942044fdf0d8bcd59838332af32c4fd6b31,Frontiers in Psychology
3433627f803953280b66ae1576d083fc9a68385a,arXiv.org
aa4ab945ea961e52cc31427723203370a7017d3d,Journal of experimental psychology. General
c67f453f47b479d57a457fc13b970cb874986104,Artificial Intelligence Review
4ad1e96e6d48a13a5f7a14bed78f55c12ab9e350,Journal of Vision
39f59c2e1452d881535656326ee98af46ded7391,Journal of Vision
d25974eb72fe9ba020a40064cd7b68df137c0358,Neurocomputing
88231e5dc130a0fea0cf53e44399a3bb41cdb5f4,Neuropsychologia
0d74d031fa95fe2049bc14002665e926bb0cddfb,Quarterly Journal of Experimental Psychology
ca3772f16090ed81597b7fc211aa2178f7c43f07,Neurocomputing
e06552bbf730b1cb4403d6f632ac93444f0e3434,Cerebral Cortex
a5a321769ebc09a34b26023d8bd10f5ccfbf57f7,arXiv.org
ddf37df62a4f266906d8e361deb2be38b0bce1a2,
7e8155d25ce9c7b01f3800717263bd2f52823da5,International Conference on Orange Technologies
94d26cc2f5a8936fd2d94ec1b71f4b52571469ce,Neural Information Processing Systems
46212252f24346c23d695df100301b33571e473b,Journal of Vision
84424eee012089dac9414979f0cb1465c97c4408,Vision Research
daff03d21129538044bd42ff49663622ff20d06d,
abfd3d1fb0c0117905978a470897db053dc7afbb,arXiv.org
bb407f5a7bb2c8facea2a802c0636c71aefc1d2a,Vision Research
ed72199fca05252566b07bf7d19a67eb6807c660,Frontiers in Computational Neuroscience
30212d3572985f76ee00ecd7cba203c60e480c48,Journal of Experimental Psychology: Human Perception and Performance
7d02f4acb64cdc9b8ac305b6291c4a641aa55170,International Conference on Computer Graphics and Interactive Techniques
34f53b176b1fffe9ab8c1102dfbbe93a625850f0,IEEE International Joint Conference on Neural Network
5c4d7126a13416be7e8fcfffbf00c57ace18d79d,
6b70bec7ec4b870b0501e0ff9d6a6430cb254159,IEEE transactions on multimedia
f509f6de4bb16b0d7b3e8d39035218c9ea667bf7,Trends in Cognitive Sciences
a9faeb63f3fb06aa241f8df867bb8159e8f9a14a,
02474282221b190279ef8233091f7045104b7d72,Journal of Vision
8a4ec5c20e2493943cf2281a6843ff4ddcbed5f1,Electronic imaging
ef63b3458d7247f7c2ad79ae55a3af307312f0ba,arXiv.org
5dabb4ce6eff048d9f1bff2e7a256dac18c7a6b6,Journal of Vision
3c242e4bf9b02b1c704bdac96a830bd0b0deac25,Frontiers in Psychology
18804d8e981fa66135c0ffa6fdb2b8b3fec6d753,Journal of Vision
e254d0e670ce8217e74aaf1421c72e63e62929e3,IEEE Transactions on Pattern Analysis and Machine Intelligence
5561dbbe88f38ab030a2556066f817164dc2cee2,Neural Information Processing Systems
7c9554b7d1afa315471890c3ce3e15bf38f34304,
bf141ead8d9728d6d59bfbc3dc5311dae4a3048a,
e9f65448baee0014c3ae3898442cb65007b07d7e,IEEE International Conference on Computer Vision
4c3f5978b1d3a3c0c9f57ccde244ddf5571d637c,
b1da9ed990a6a1dfcbc38f5d711a1183dc14bee2,Philosophical Transactions of the Royal Society B: Biological Sciences
